"NAICS","Industry Title","AIIE","Sector"
"3369","Other Transportation Equipment Manufacturing","-0.168","Infrastructure (General)"
"3370","Furniture and Related Product Manufacturing (3371 and 3372 only)","-1.001","Infrastructure (General)"
"3379","Other Furniture Related Product Manufacturing","-0.572","Infrastructure (General)"
"3391","Medical Equipment and Supplies Manufacturing","0.23","Infrastructure (General)"
"3399","Other Miscellaneous Manufacturing","-0.069","Infrastructure (General)"
"4230","Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)","0.242","Consumer & Retail"
"4231","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","-0.16","Consumer & Retail"
"4234","Professional and Commercial Equipment and Supplies Merchant Wholesalers","1.041","Consumer & Retail"
"4238","Machinery, Equipment, and Supplies Merchant Wholesalers","0.261","Consumer & Retail"
"4240","Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)","-0.358","Consumer & Retail"
"4240","Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)","0.684","Consumer & Retail"
"4240","Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)","-0.003","Consumer & Retail"
"4243","Apparel, Piece Goods, and Notions Merchant Wholesalers","0.657","Consumer & Retail"
"4245","Farm Product Raw Material Merchant Wholesalers","-0.711","Consumer & Retail"
"4251","Wholesale Electronic Markets and Agents and Brokers","0.988","Consumer & Retail"
"4411","Automobile Dealers","-0.167","Consumer & Retail"
"4412","Other Motor Vehicle Dealers","-0.13","Consumer & Retail"
"4413","Automotive Parts, Accessories, and Tire Stores","-0.687","Consumer & Retail"
"4421","Furniture Stores","-0.011","Consumer & Retail"
"4422","Home Furnishings Stores","0.05","Consumer & Retail"
"4431","Electronics and Appliance Stores","0.362","Consumer & Retail"
"4441","Building Material and Supplies Dealers","0.105","Consumer & Retail"
"4442","Lawn and Garden Equipment and Supplies Stores","-0.464","Consumer & Retail"
"4450","Food and Beverage Stores (4451 and 4452 only)","-0.407","Consumer & Retail"
"4453","Beer, Wine, and Liquor Stores","-0.019","Consumer & Retail"
"4461","Health and Personal Care Stores","0.326","Consumer & Retail"
"4471","Gasoline Stations","-0.311","Consumer & Retail"
"4481","Clothing Stores","0.227","Consumer & Retail"
"4482","Shoe Stores","0.281","Consumer & Retail"
"4483","Jewelry, Luggage, and Leather Goods Stores","0.383","Consumer & Retail"
"4511","Sporting Goods, Hobby, and Musical Instrument Stores","0.209","Consumer & Retail"
"4512","Book Stores and News Dealers","0.25","Consumer & Retail"
"4520","General Merchandise Stores","-0.007","Consumer & Retail"
"4530","Miscellaneous Store Retailers (4532 and 4533 only)","0.166","Consumer & Retail"
"4531","Florists","-0.369","Consumer & Retail"
"4539","Other Miscellaneous Store Retailers","0.008","Consumer & Retail"
"4541","Electronic Shopping and Mail-Order Houses","0.605","Consumer & Retail"
"4542","Vending Machine Operators","-0.665","Consumer & Retail"
"4543","Direct Selling Establishments","-0.043","Consumer & Retail"
"4811","Scheduled Air Transportation","-0.456","Infrastructure (General)"
"4812","Nonscheduled Air Transportation","0.113","Infrastructure (General)"
"4821","Rail Transportation","-0.592","Infrastructure (General)"
"4831","Deep Sea, Coastal, and Great Lakes Water Transportation","-0.328","Infrastructure (General)"
"4832","Inland Water Transportation","-0.872","Infrastructure (General)"
"4840","Truck Transportation","-1.282","Infrastructure (General)"
"4851","Urban Transit Systems","-0.12","Infrastructure (General)"
"4852","Interurban and Rural Bus Transportation","-0.046","Infrastructure (General)"
"4853","Taxi and Limousine Service","1.37","Infrastructure (General)"
"4854","School and Employee Bus Transportation","0.077","Infrastructure (General)"
"4855","Charter Bus Industry","0.009","Infrastructure (General)"
"4859","Other Transit and Ground Passenger Transportation","0.962","Infrastructure (General)"
"4861","Pipeline Transportation of Crude Oil","-0.134","Infrastructure (General)"
"4862","Pipeline Transportation of Natural Gas","-0.09","Infrastructure (General)"
"4869","Other Pipeline Transportation","-0.039","Infrastructure (General)"
"4871","Scenic and Sightseeing Transportation, Land","0.404","Infrastructure (General)"
"4872","Scenic and Sightseeing Transportation, Water","-0.668","Infrastructure (General)"
"4879","Scenic and Sightseeing Transportation, Other","0.187","Infrastructure (General)"
"4881","Support Activities for Air Transportation","-0.335","Infrastructure (General)"
"4882","Support Activities for Rail Transportation","-1.475","Infrastructure (General)"
"4883","Support Activities for Water Transportation","-1.411","Infrastructure (General)"
"4884","Support Activities for Road Transportation","-0.95","Infrastructure (General)"
"4885","Freight Transportation Arrangement","1.025","Infrastructure (General)"
"4889","Other Support Activities for Transportation","-1.106","Infrastructure (General)"
"4911","Postal Service (federal government)","-1.315","Infrastructure (General)"
"4921","Couriers and Express Delivery Services","-1.15","Infrastructure (General)"
"4922","Local Messengers and Local Delivery","-1.183","Infrastructure (General)"
"4931","Warehousing and Storage","-1.591","Infrastructure (General)"
"5111","Newspaper, Periodical, Book, and Directory Publishers","1.338","Software & Platform"
"5112","Software Publishers","1.966","Software & Platform"
"5121","Motion Picture and Video Industries","0.403","Infrastructure (General)"
"5122","Sound Recording Industries","1.434","Infrastructure (General)"
"5151","Radio and Television Broadcasting","1.43","Infrastructure (General)"
"5152","Cable and Other Subscription Programming","1.098","Infrastructure (General)"
"5170","Telecommunications","0.247","Cloud & Ecosystems"
"5182","Data Processing, Hosting, and Related Services","1.743","Cloud & Ecosystems"
"5191","Other Information Services","1.75","Cloud & Ecosystems"
"5211","Monetary Authorities-Central Bank","1.77","Business Services"
"5220","Credit Intermediation and Related Activities (5221 And 5223 only)","1.889","Business Services"
